Year,Month,Day,Hour,Minute,Close
2023,4,10,1,52,28401.89000000
2023,4,10,1,53,28390.95000000
2023,4,10,1,54,28390.07000000
2023,4,10,1,55,28374.25000000
2023,4,10,1,56,28374.28000000
2023,4,10,1,57,28370.47000000
2023,4,10,1,58,28366.23000000
2023,4,10,1,59,28371.39000000
2023,4,10,2,0,28397.19000000
2023,4,10,2,1,28376.66000000
2023,4,10,2,2,28368.07000000
2023,4,10,2,3,28362.05000000
2023,4,10,2,4,28361.87000000
2023,4,10,2,5,28380.00000000
2023,4,10,2,6,28377.37000000
2023,4,10,2,7,28364.58000000
2023,4,10,2,8,28355.00000000
2023,4,10,2,9,28360.00000000
2023,4,10,2,10,28358.42000000
2023,4,10,2,11,28380.00000000
2023,4,10,2,12,28364.04000000
2023,4,10,2,13,28360.01000000
2023,4,10,2,14,28360.01000000
2023,4,10,2,15,28365.00000000
2023,4,10,2,16,28369.55000000
2023,4,10,2,17,28368.54000000
2023,4,10,2,18,28368.53000000
2023,4,10,2,19,28370.45000000
2023,4,10,2,20,28370.39000000
2023,4,10,2,21,28379.51000000
2023,4,10,2,22,28381.83000000
2023,4,10,2,23,28400.05000000
2023,4,10,2,24,28429.39000000
2023,4,10,2,25,28410.02000000
2023,4,10,2,26,28391.60000000
2023,4,10,2,27,28390.01000000
2023,4,10,2,28,28370.16000000
2023,4,10,2,29,28368.13000000
2023,4,10,2,30,28363.74000000
2023,4,10,2,31,28357.21000000
2023,4,10,2,32,28357.22000000
2023,4,10,2,33,28356.77000000
2023,4,10,2,34,28350.61000000
2023,4,10,2,35,28347.51000000
2023,4,10,2,36,28342.90000000
2023,4,10,2,37,28333.66000000
2023,4,10,2,38,28347.51000000
2023,4,10,2,39,28344.49000000
2023,4,10,2,40,28336.33000000
2023,4,10,2,41,28317.51000000
2023,4,10,2,42,28327.82000000
2023,4,10,2,43,28322.49000000
2023,4,10,2,44,28300.82000000
2023,4,10,2,45,28319.04000000
2023,4,10,2,46,28316.35000000
2023,4,10,2,47,28317.01000000
2023,4,10,2,48,28317.02000000
2023,4,10,2,49,28326.25000000
2023,4,10,2,50,28336.49000000
2023,4,10,2,51,28309.97000000
2023,4,10,2,52,28316.61000000
2023,4,10,2,53,28321.81000000
2023,4,10,2,54,28327.48000000
2023,4,10,2,55,28328.40000000
2023,4,10,2,56,28326.61000000
2023,4,10,2,57,28324.33000000
2023,4,10,2,58,28323.76000000
2023,4,10,2,59,28323.76000000
2023,4,10,3,0,28324.26000000
2023,4,10,3,1,28297.73000000
2023,4,10,3,2,28299.99000000
2023,4,10,3,3,28309.74000000
2023,4,10,3,4,28309.02000000
2023,4,10,3,5,28322.73000000
2023,4,10,3,6,28340.27000000
2023,4,10,3,7,28345.20000000
2023,4,10,3,8,28356.42000000
2023,4,10,3,9,28358.96000000
2023,4,10,3,10,28361.15000000
2023,4,10,3,11,28357.73000000
2023,4,10,3,12,28362.33000000
2023,4,10,3,13,28379.99000000
2023,4,10,3,14,28364.48000000
2023,4,10,3,15,28365.28000000
2023,4,10,3,16,28367.63000000
2023,4,10,3,17,28362.99000000
2023,4,10,3,18,28362.11000000
2023,4,10,3,19,28365.40000000
2023,4,10,3,20,28365.39000000
2023,4,10,3,21,28360.59000000
2023,4,10,3,22,28359.66000000
2023,4,10,3,23,28353.58000000
2023,4,10,3,24,28349.66000000
2023,4,10,3,25,28350.21000000
2023,4,10,3,26,28363.54000000
2023,4,10,3,27,28364.99000000
2023,4,10,3,28,28380.00000000
2023,4,10,3,29,28381.03000000
2023,4,10,3,30,28380.00000000
2023,4,10,3,31,28366.83000000
2023,4,10,3,32,28368.15000000
2023,4,10,3,33,28368.16000000
2023,4,10,3,34,28349.64000000
2023,4,10,3,35,28361.75000000
2023,4,10,3,36,28361.87000000
2023,4,10,3,37,28362.34000000
2023,4,10,3,38,28362.59000000
2023,4,10,3,39,28363.15000000
2023,4,10,3,40,28387.94000000
2023,4,10,3,41,28419.26000000
2023,4,10,3,42,28405.36000000
2023,4,10,3,43,28403.62000000
2023,4,10,3,44,28400.01000000
2023,4,10,3,45,28383.63000000
2023,4,10,3,46,28390.01000000
2023,4,10,3,47,28390.01000000
2023,4,10,3,48,28390.00000000
2023,4,10,3,49,28379.92000000
2023,4,10,3,50,28375.31000000
2023,4,10,3,51,28373.22000000
2023,4,10,3,52,28412.47000000
2023,4,10,3,53,28411.75000000
2023,4,10,3,54,28419.28000000
2023,4,10,3,55,28396.25000000
